conflictid,country,incomp,year,int,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,region
151,Argentina,1,1982,1,0,2,1982-04-02,1,1982-05-02,1,1,1982-06-14,1,1
226,Australia ,2,2003,2,1,2,2003-03-20,1,2003-03-22,2,1,2003-04-09,1,2
193,Azerbaijan,1,1991,1,0,4,1991-12-29,1,1991-12-30,1,0,,,1
193,Azerbaijan,1,1992,2,1,4,1991-12-29,1,1991-12-30,1,0,,,1
193,Azerbaijan,1,1993,2,1,4,1991-12-29,1,1991-12-30,1,0,,,1
193,Azerbaijan,1,1994,2,1,3,1991-12-29,1,1991-12-30,1,1,1994-07-27,1,1
193,Azerbaijan,1,2005,1,1,4,1991-12-29,1,2005-10-09,1,1,2005-12-05,5,1
201,Azerbaijan,2,1993,1,0,3,1993-06-04,1,1993-06-06,1,1,1993-06-18,1,1
201,Azerbaijan,2,1995,1,0,3,1993-06-04,1,1995-03-17,1,1,1995-03-17,1,1
193,Azerbaijan,1,2012,1,1,4,1991-12-29,1,2012-09-11,2,,,,1
126,Bangladesh,1,1975,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1976,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1977,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1978,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1979,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1980,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1981,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1982,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1983,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1984,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1985,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1986,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1987,1,0,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1988,1,1,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1989,1,1,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1990,1,1,3,1975-02-28,4,1975-02-28,4,0,,,3
126,Bangladesh,1,1991,1,1,3,1975-02-28,4,1975-02-28,4,1,1991-12-28,1,3
275,Bangladesh,2,2005,1,0,3,1994-04-24,1,2005-09-07,1,0,,,3
275,Bangladesh,2,2006,1,0,3,1994-04-24,1,2005-09-07,1,1,2006-12-22,1,3
1,Bolivia,2,1946,2,1,3,1946-06-30,4,1946-06-30,4,1,1946-07-21,1,5
1,Bolivia,2,1952,1,1,3,1946-06-30,4,1952-04-09,1,1,1952-04-12,1,5
1,Bolivia,2,1967,1,1,3,1946-06-30,4,1967-03-31,3,1,1967-10-16,1,5
