ID Nuevo,Año,Mes,Día,lat,long,Geocode,Departamento INEI,Provincia INEI,Distrito INEI,Centro poblado INEI,Categoría centro poblado INEI,Casco Urbano,Zona Rural,Tipo de Centro Poblado no INEI,Nombre Centro Poblado no INEI,Precedencia,Iniciativa 1,Iniciativa 2,Iniciativa 3,FF.MM.   - 1-,Policía    -2-,CAD        -3-,Rondas Campesinas         -10-,PCP-SL     -15-,PCP-BR     -16-,MRTA      -17-,Otros Guerrilleros no Id.               -18-,Otros Paramilitares no Id.                          -19-,Grupos estatales no Id.                       -20-,No identificado            -21-,Otros         -22-,Milicias     -23-,Grupo 1 Método 1,Grupo 1 Método 2,Grupo 2 Método 1,Grupo 2 Método 2,Grupo 3 Método 1,Grupo 3 Método 2,Grupo 4 Método 1,Grupo 4 Método 2,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 1,Método 1,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 2,Método 2,Código grupo responsable 1,Código grupo responsable 2,Código grupo responsable 3,Tipo de acción bélica 3,Método 3,Código grupo responsable 1,Código grupo responsable 2,Tipo de acción bélica 4,Método 4,Código grupo responsable 1,Código grupo responsable 2,Tipo de acción bélica 5,Método 5,No está descrito el método del ataque  ,Código Grupo,Muertos,Heridos,detenido,Retenidos,Código Grupo,Muertos,Heridos,detenidos,Retenidos,Código Grupo,Muertos,Heridos,Detenidos,Retenidos,Código Grupo,Muertos,Heridos,Detenidos,Retenidos,Número testimonio,Fuente 1,Tomo,Página,Fecha (dd/mm/aa),Nota Magnética 1,Fuente(s) Primaria(s) 1,Notas,Dummie Revisión,Notas Revisión
02505,1980,,,,,PE,APURIMAC,AYMARAES,COLCABAMBA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,Entre 1980-1989,500559,Comisión de la Verdad Informe Final,XVII,153,,,,,
02523,1980,,,,,PE,APURIMAC,AYMARAES,TORAYA,CANUA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,,,,1,,,,,,,,,,,,,,,,1980-2000,500318,Comisión de la Verdad Informe Final,XVII,157,,,,,
02542,1980,12,,,,PE,APURIMAC,CHINCHEROS,COCHARCAS,CARMEN DE CUAY,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Registro y control,,,,,,,,,,,,,,,,,,,,,24,,,9,,,,,,,,,,,,,,,,,,202389,Comisión de la Verdad Informe Final,XVII,163,,,,,
02606,1980,11,,,,PE,APURIMAC,CHINCHEROS,ONGOY,CALLAPAYOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Registro y control,,,,,,,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,,,,Entre noviembre de 1980 y septiembre de 1981,202229,Comisión de la Verdad Informe Final,XVII,183,,,,,
03889,1980,,,,,PE,AYACUCHO,HUANTA,IGUAIN,TINYACC,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Masacre,,,,,,,,,,,,,,,,,,,,,24,4,,,4,,,,,,,,,,,,,,,,"Los hechos tienen el año sin determinar. Se especifica que fuen entre 1980-1984, un dia anterior al 23 de junio de 1984",200572,Comisión de la Verdad Informe Final,XIII,524,,,,,
03891,1980,,,,,PE,AYACUCHO,HUANTA,SIVIA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Grupos no estatales Rondas Campesinas  ,Armamentos Armas de fuego  ,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,15,,,Robo,,,,15,,,,,,,10,,1,,,24,3,,,,,,,,,,,,,,No se especifica la fecha se dice que entre 1980 y 2000,200626,Comisión de la Verdad Informe Final,XIII,525,,,,,
03899,1980,,,,,PE,AYACUCHO,HUANTA,LURICOCHA,LLANZA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,Los hechos ocurrieron entre 1980 y  1985,200643,Comisión de la Verdad Informe Final,XIII,527,,,,,
03903,1980,,,,,PE,AYACUCHO,HUANTA,HUANTA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,Los hechos tienen una fecha sin determinar entre 1980 y 1989,200659,Comisión de la Verdad Informe Final,XIII,528,,,,,
03906,1980,,,,,PE,AYACUCHO,HUANTA,LURICOCHA,CHAMANA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,Armamentos Armas de fuego  ,,,,,,,,,,,,,,,24,1,2,,,,,,,,,,,,,,,,,,Los hechos ocurrieron entre 1980 y 1989,200608,Comisión de la Verdad Informe Final,XIII,529,,,,,
03907,1980,,,,,PE,AYACUCHO,HUANTA,IGUAIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,,,,1,,,,,,,,,,,,,,,,Los hechos ocurrieron entre 1980 y 1989,200525,Comisión de la Verdad Informe Final,XIII,529,,,,,
03911,1980,,,,,PE,AYACUCHO,HUANTA,SANTILLANA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,Armamentos Armas contundentes  ,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,"La fecha no se especifica, los eventos ocurrieron entre 1980 y el 2000",200735,Comisión de la Verdad Informe Final,XIII,531,,,,,
03912,1980,,,,,PE,AYACUCHO,HUANTA,SANTILLANA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Secuestro masivo,,,,,,,,,,,,,,,,,,,,,24,22,,,,,,,,,,,,,,,,,,,"La fecha no se especifica, los eventos ocurrieron entre 1980 y el 2000",200735,Comisión de la Verdad Informe Final,XIII,531,,,,,
03913,1980,,,,,PE,AYACUCHO,HUANTA,AYAHUANCO,CABALLOYOC,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,3,,,Incursión,,3,,,Secuestro masivo,,1,,,Registro y control,,,,10,,,,,,,24,2,,19,,,,,,,,,,,,,,,,,"La fecha no se especifica, los eventos ocurrieron entre 1980 y el 2000",200735,Comisión de la Verdad Informe Final,XIII,531,,,,,
03916,1980,,,,,PE,AYACUCHO,HUANTA,SANTILLANA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Secuestro masivo,,15,,,Acción ofensiva  a Objetivos civiles Civiles   ,Armamentos Armas de fuego  ,,,15,,,,,,,24,1,,,22,,,,,,,,,,,,,,,,Los hechos ocurrieron en una fecha no detrminada entre 1980 y 2000,200735,Comisión de la Verdad Informe Final,XIII,532,,,,,
03919,1980,,,,,PE,AYACUCHO,HUANTA,SANTILLANA,PARCCORA (SACSAHUILCA),,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,3,,,,,,,,,,,,,,,,,,,Los hechos ocurrieron entre 1980 y 1984,200540,Comisión de la Verdad Informe Final,XIII,533,,,,,
03931,1980,,,,,PE,AYACUCHO,HUANTA,HUANTA,CHUYAS,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,"La fecha no esta de termina, el hecho ocurrio entre 1980 y el 2000",201390,Comisión de la Verdad Informe Final,XIII,536,,,,,
04165,1980,5,26,,,PE,HUANUCO,HUANUCO,AMARILIS,COLPA ALTA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,,430052,Comisión de la Verdad Informe Final,XV,4,,,,,
04166,1980,8,,,,PE,HUANUCO,HUANUCO,MARGOS,MARGOS,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Registro y control,,,,,,,,,,,,,,,,,,,,,24,,,3,,,,,,,,,,,,,,,,,,420055,Comisión de la Verdad Informe Final,XV,4,,,,,
04300,1980,,,,,PE,HUANUCO,HUANUCO,QUISQUI,SAN PEDRO DE CANI,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos militares o de policía  Patrulla FF.MM.,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,Los hechos ocurrieron entre 1980 y 2000,415076,Comisión de la Verdad Informe Final,XV,47,,,,,
04301,1980,,,,,PE,HUANUCO,HUANUCO,SAN FRANCISCO DE CAYRAN,SAN RAMON DE MACHA (MACHA),,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva Pinta de graffitis a Objetivos civiles Civiles  ,Armamentos Armas de fuego  ,,,,,,,,,,,,,,,24,3,,,,,,,,,,,,,,,,,,,Los hechos ocurrieron entre 1980 y 2000,415053,Comisión de la Verdad Informe Final,XV,47,,,,,
04418,1980,,,,,PE,HUANUCO,DOS DE MAYO,RIPAN,DIVISORIA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,,,,1,,,,,,,,,,,,,,,,,342023,Comisión de la Verdad Informe Final,XV,78,,,,,
04419,1980,10,,,,PE,HUANUCO,DOS DE MAYO,MARIAS,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,Armamentos Armas de fuego Fusil Fal,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,15,,,Robo a Objetivos civiles Civiles   ,,,,,,,,,,,24,,1,,,,,,,,,,,,,,,,,,,499952,Comisión de la Verdad Informe Final,XV,78,,,,,
04449,1980,,,,,PE,HUANUCO,HUACAYBAMBA,CANCHABAMBA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,,,,1,,,,,,,,,,,,,,,,Los hechos ocurrieeron entre 1980 y 2000.,407579,Comisión de la Verdad Informe Final,XV,88,,,,,
04450,1980,,,,,PE,HUANUCO,HUAMALIES,CANCHABAMBA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,,,,1,,,,,,,,,,,,,,,,,411297,Comisión de la Verdad Informe Final,XV,88,,,,,
04631,1980,,,,,PE,HUANUCO,HUAMALIES,MONZON,MONZON,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,,,,2,,,,,,,,,,,,,,,,Los hechos ocurrieron entre 1980 y 2000,415008,Comisión de la Verdad Informe Final,XV,137,,,,,
04632,1980,,,,,PE,HUANUCO,HUAMALIES,MONZON,SACHAVACA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,,,,,,,,,,,,,,,24,2,,,,,,,,,,,,,,,,,,,Los hechos ocurrieron entre 1980 y 2000,430186,Comisión de la Verdad Informe Final,XV,138,,,,,
04633,1980,,,,,PE,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,AUCAYACU,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Masacre,,,,,,,,,,,,,,,,,,,,,24,4,,,,,,,,,,,,,,,,,,,,487518,Comisión de la Verdad Informe Final,XV,138,,,,,
04634,1980,,,,,PE,HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,PACAE,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,,,,,,,,,,,,,,,24,,,,1,,,,,,,,,,,,,,,,,400103,Comisión de la Verdad Informe Final,XV,138,,,,,
04918,1980,5,,,,PE,AYACUCHO,VICTOR FAJARDO,COLCA,COLCA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,, La fecha esta entre Mayo y Diciembre .No se puede determinar el número de heridos detenidos ,203657,Comisión de la Verdad Informe Final,XIV,901,,,,,
04919,1980,7,,,,PE,AYACUCHO,VICTOR FAJARDO,HUANCAPI,HUANCAPI,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Incursión,,2,,,Acción ofensiva  a Objetivos civiles Civiles  ,,,,,,,,,,,,,,,,24,,2,,,,,,,,,,,,,,,,,,,700083,Comisión de la Verdad Informe Final,XIV,901,,,,,
05189,1980,,,,,PE,AYACUCHO,VICTOR FAJARDO,CANARIA,TACA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,2,,,,,,,,,,,,,,,,,,,,"101670, 201468",Comisión de la Verdad Informe Final,XIV,985,,,,,
05203,1980,5,,,,PE,AYACUCHO,VILCAS HUAMAN,SAURAMA,MUCHCAPATA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Incursión,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,204829,Comisión de la Verdad Informe Final,XIV,984,,,,,
05204,1980,6,23,,,PE,AYACUCHO,VILCAS HUAMAN,SAURAMA,SAURAMA,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Acción ofensiva a Objetivos civiles Civiles   ,,15,,,Robo,semovientes   ,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,,,,,"202752, 202754,202761",Comisión de la Verdad Informe Final,XIV,990,,,,,
05205,1980,12,24,,,PE,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,POMATAMBO,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Acción ofensiva a Objetivos civiles Civiles   ,,,,,,,,,,,,,,,,,,,,,24,3,6,,,,,,,,,,,,,,,,,,,"201026,201036,201048,201053,201063,201065,201443,202753,204378,204399,204403",Comisión de la Verdad Informe Final,XIV,990,,,,,
05590,1980,,,,,PE,AYACUCHO,VILCAS HUAMAN,SAURAMA,PUYACHI,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,,,,,,,,,,,,,,,24,,,,4,,,,,,,,,,,,,,,,Rango de fecha esta entre 1980 y 2000,204967,Comisión de la Verdad Informe Final,XIV,1102,,,,,
05592,1980,,,,,PE,AYACUCHO,VILCAS HUAMAN,SAURAMA,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,,,,,,,,,,,,,,,24,,,,1,,,,,,,,,,,,,,,,Rango de fecha esta entre 1980 y 2000,204920,Comisión de la Verdad Informe Final,XIV,1102,,,,,
05595,1980,,,,,PE,AYACUCHO,VILCAS HUAMAN,VISCHONGO,UMARO,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Incursión,Helicóptero   ,1,,,Registro y control,,,,,,,,,,,,,,,,24,1,,,,,,,,,,,,,,,,,,,Rango de fecha esta entre 1980 y 1981,203635,Comisión de la Verdad Informe Final,XIV,1103,,,,,
05596,1980,,,,,PE,AYACUCHO,VILCAS HUAMAN,VISCHONGO,QUILLQUI,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,15,,,Incursión,,15,,,Acción ofensiva  a Objetivos civiles Civiles  ,,,,,,,,,,,,,,,,24,,,1,,,,,,,,,,,,,,,,,Rango de fecha esta entre 1980 y 2000,203637,Comisión de la Verdad Informe Final,XIV,1104,,,,,
